ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,2,0,200,10,80,20,800,400,20,12,30
770,200,-12,2,0,220,10,80,20,800,400,20,12,30
758,202,-12,2,0,240,10,80,20,800,400,20,12,30
746,204,-12,2,0,260,10,80,20,800,400,20,12,30
734,206,-12,2,0,280,10,80,20,800,400,20,12,30
722,208,-12,2,0,300,10,80,20,800,400,20,12,30
710,210,-12,2,0,320,10,80,20,800,400,20,12,30
698,212,-12,2,0,340,10,80,20,800,400,20,12,30
686,214,-12,2,0,340,10,80,20,800,400,20,12,30
674,216,-12,2,0,340,10,80,20,800,400,20,12,30
662,218,-12,2,0,340,10,80,20,800,400,20,12,30
650,220,-12,2,0,340,10,80,20,800,400,20,12,30
638,222,-12,2,0,340,10,80,20,800,400,20,12,30
626,224,-12,2,0,340,10,80,20,800,400,20,12,30
614,226,-12,2,0,340,10,80,20,800,400,20,12,30
602,228,-12,2,0,340,10,80,20,800,400,20,12,30
590,230,-12,2,0,340,10,80,20,800,400,20,12,30
578,232,-12,2,0,340,10,80,20,800,400,20,12,30
566,234,-12,2,0,340,10,80,20,800,400,20,12,30
554,236,-12,2,0,340,10,80,20,800,400,20,12,30
542,238,-12,2,0,340,10,80,20,800,400,20,12,30
530,240,-12,2,0,340,10,80,20,800,400,20,12,30
518,242,-12,2,0,340,10,80,20,800,400,20,12,30
506,244,-12,2,0,340,10,80,20,800,400,20,12,30
494,246,-12,2,0,340,10,80,20,800,400,20,12,30
482,248,-12,2,0,340,10,80,20,800,400,20,12,30
470,250,-12,2,0,340,10,80,20,800,400,20,12,30
458,252,-12,2,0,340,10,80,20,800,400,20,12,30
446,254,-12,2,0,340,10,80,20,800,400,20,12,30
434,256,-12,2,0,340,10,80,20,800,400,20,12,30
422,258,-12,2,0,340,10,80,20,800,400,20,12,30
410,260,-12,2,0,340,10,80,20,800,400,20,12,30
398,262,-12,2,0,340,10,80,20,800,400,20,12,30
386,264,-12,2,0,340,10,80,20,800,400,20,12,30
374,266,-12,2,0,340,10,80,20,800,400,20,12,30
362,268,-12,2,0,340,10,80,20,800,400,20,12,30
350,270,-12,2,0,340,10,80,20,800,400,20,12,30
338,272,-12,2,0,340,10,80,20,800,400,20,12,30
326,274,-12,2,0,340,10,80,20,800,400,20,12,30
314,276,-12,2,0,340,10,80,20,800,400,20,12,30
302,278,-12,2,0,340,10,80,20,800,400,20,12,30
290,280,-12,2,0,340,10,80,20,800,400,20,12,30
278,282,-12,2,0,340,10,80,20,800,400,20,12,30
266,284,-12,2,0,340,10,80,20,800,400,20,12,30
254,286,-12,2,0,340,10,80,20,800,400,20,12,30
242,288,-12,2,0,340,10,80,20,800,400,20,12,30
230,290,-12,2,0,340,10,80,20,800,400,20,12,30
218,292,-12,2,0,340,10,80,20,800,400,20,12,30
206,294,-12,2,0,340,10,80,20,800,400,20,12,30
194,296,-12,2,0,340,10,80,20,800,400,20,12,30
182,298,-12,2,0,340,10,80,20,800,400,20,12,30
170,300,-12,2,0,340,10,80,20,800,400,20,12,30
158,302,-12,2,0,340,10,80,20,800,400,20,12,30
146,304,-12,2,0,340,10,80,20,800,400,20,12,30
134,306,-12,2,0,340,10,80,20,800,400,20,12,30
122,308,-12,2,0,340,10,80,20,800,400,20,12,30
110,310,-12,2,0,340,10,80,20,800,400,20,12,30
98,312,-12,2,0,340,10,80,20,800,400,20,12,30
86,314,-12,2,0,340,10,80,20,800,400,20,12,30
74,316,-12,2,0,340,10,80,20,800,400,20,12,30
62,318,-12,2,0,340,10,80,20,800,400,20,12,30
50,320,-12,2,0,340,10,80,20,800,400,20,12,30
38,322,-12,2,0,340,10,80,20,800,400,20,12,30
50,324,12,2,0,340,10,80,20,800,400,20,12,30
62,326,12,2,0,340,10,80,20,800,400,20,12,30
74,328,12,2,0,340,10,80,20,800,400,20,12,30
86,330,12,2,0,340,10,80,20,800,400,20,12,30
98,332,12,2,0,340,10,80,20,800,400,20,12,30
110,334,12,2,0,340,10,80,20,800,400,20,12,30
122,336,12,2,0,340,10,80,20,800,400,20,12,30
134,338,12,2,0,340,10,80,20,800,400,20,12,30
146,340,12,2,0,340,10,80,20,800,400,20,12,30
158,342,12,2,0,340,10,80,20,800,400,20,12,30
170,344,12,2,0,340,10,80,20,800,400,20,12,30
182,346,12,2,0,340,10,80,20,800,400,20,12,30
194,348,12,2,0,340,10,80,20,800,400,20,12,30
206,350,12,2,0,340,10,80,20,800,400,20,12,30
218,352,12,2,0,340,10,80,20,800,400,20,12,30
230,354,12,2,0,340,10,80,20,800,400,20,12,30
242,356,12,2,0,340,10,80,20,800,400,20,12,30
254,358,12,2,0,340,10,80,20,800,400,20,12,30
266,360,12,2,0,340,10,80,20,800,400,20,12,30
278,362,12,2,0,340,10,80,20,800,400,20,12,30
290,364,12,2,0,340,10,80,20,800,400,20,12,30
302,366,12,2,0,340,10,80,20,800,400,20,12,30
314,368,12,2,0,340,10,80,20,800,400,20,12,30
326,370,12,2,0,340,10,80,20,800,400,20,12,30
338,368,12,-2,0,340,10,80,20,800,400,20,12,30
350,366,12,-2,0,340,10,80,20,800,400,20,12,30
362,364,12,-2,0,340,10,80,20,800,400,20,12,30
374,362,12,-2,0,340,10,80,20,800,400,20,12,30
386,360,12,-2,0,340,10,80,20,800,400,20,12,30
398,358,12,-2,0,340,10,80,20,800,400,20,12,30
410,356,12,-2,0,340,10,80,20,800,400,20,12,30
422,354,12,-2,0,340,10,80,20,800,400,20,12,30
434,352,12,-2,0,340,10,80,20,800,400,20,12,30
446,350,12,-2,0,340,10,80,20,800,400,20,12,30
458,348,12,-2,0,340,10,80,20,800,400,20,12,30
470,346,12,-2,0,340,10,80,20,800,400,20,12,30
482,344,12,-2,0,340,10,80,20,800,400,20,12,30
494,342,12,-2,0,340,10,80,20,800,400,20,12,30
506,340,12,-2,0,340,10,80,20,800,400,20,12,30
518,338,12,-2,0,340,10,80,20,800,400,20,12,30
530,336,12,-2,0,340,10,80,20,800,400,20,12,30
542,334,12,-2,0,340,10,80,20,800,400,20,12,30
554,332,12,-2,0,340,10,80,20,800,400,20,12,30
566,330,12,-2,0,340,10,80,20,800,400,20,12,30
578,328,12,-2,0,340,10,80,20,800,400,20,12,30
590,326,12,-2,0,340,10,80,20,800,400,20,12,30
602,324,12,-2,0,340,10,80,20,800,400,20,12,30
614,322,12,-2,0,340,10,80,20,800,400,20,12,30
626,320,12,-2,0,340,10,80,20,800,400,20,12,30
638,318,12,-2,0,340,10,80,20,800,400,20,12,30
650,316,12,-2,0,340,10,80,20,800,400,20,12,30
662,314,12,-2,0,340,10,80,20,800,400,20,12,30
674,312,12,-2,0,340,10,80,20,800,400,20,12,30
686,310,12,-2,0,340,10,80,20,800,400,20,12,30
698,308,12,-2,0,340,10,80,20,800,400,20,12,30
710,306,12,-2,0,340,10,80,20,800,400,20,12,30
722,304,12,-2,0,340,10,80,20,800,400,20,12,30
734,302,12,-2,0,340,10,80,20,800,400,20,12,30
746,300,12,-2,0,340,10,80,20,800,400,20,12,30
758,298,12,-2,0,340,10,80,20,800,400,20,12,30
770,296,12,-2,0,340,10,80,20,800,400,20,12,30
782,294,12,-2,0,340,10,80,20,800,400,20,12,30
758,210,-12,10,0,220,10,80,20,800,400,20,12,30
746,220,-12,10,0,240,10,80,20,800,400,20,12,30
734,230,-12,10,0,260,10,80,20,800,400,20,12,30
722,240,-12,10,0,280,10,80,20,800,400,20,12,30
710,250,-12,10,0,300,10,80,20,800,400,20,12,30
698,260,-12,10,0,320,10,80,20,800,400,20,12,30
686,270,-12,10,0,340,10,80,20,800,400,20,12,30
674,280,-12,10,0,340,10,80,20,800,400,20,12,30
662,290,-12,10,0,340,10,80,20,800,400,20,12,30
650,300,-12,10,0,340,10,80,20,800,400,20,12,30
638,310,-12,10,0,340,10,80,20,800,400,20,12,30
626,320,-12,10,0,340,10,80,20,800,400,20,12,30
614,330,-12,10,0,340,10,80,20,800,400,20,12,30
602,340,-12,10,0,340,10,80,20,800,400,20,12,30
590,350,-12,10,0,340,10,80,20,800,400,20,12,30
578,360,-12,10,0,340,10,80,20,800,400,20,12,30
566,370,-12,10,0,340,10,80,20,800,400,20,12,30
554,360,-12,-10,0,340,10,80,20,800,400,20,12,30
542,350,-12,-10,0,340,10,80,20,800,400,20,12,30
530,340,-12,-10,0,340,10,80,20,800,400,20,12,30
518,330,-12,-10,0,340,10,80,20,800,400,20,12,30
506,320,-12,-10,0,340,10,80,20,800,400,20,12,30
494,310,-12,-10,0,340,10,80,20,800,400,20,12,30
482,300,-12,-10,0,340,10,80,20,800,400,20,12,30
470,290,-12,-10,0,340,10,80,20,800,400,20,12,30
458,280,-12,-10,0,340,10,80,20,800,400,20,12,30
446,270,-12,-10,0,340,10,80,20,800,400,20,12,30
434,260,-12,-10,0,340,10,80,20,800,400,20,12,30
422,250,-12,-10,0,340,10,80,20,800,400,20,12,30
410,240,-12,-10,0,340,10,80,20,800,400,20,12,30
398,230,-12,-10,0,340,10,80,20,800,400,20,12,30
386,220,-12,-10,0,340,10,80,20,800,400,20,12,30
374,210,-12,-10,0,340,10,80,20,800,400,20,12,30
362,200,-12,-10,0,340,10,80,20,800,400,20,12,30
350,190,-12,-10,0,340,10,80,20,800,400,20,12,30
338,180,-12,-10,0,340,10,80,20,800,400,20,12,30
326,170,-12,-10,0,340,10,80,20,800,400,20,12,30
314,160,-12,-10,0,340,10,80,20,800,400,20,12,30
302,150,-12,-10,0,340,10,80,20,800,400,20,12,30
290,140,-12,-10,0,340,10,80,20,800,400,20,12,30
278,130,-12,-10,0,340,10,80,20,800,400,20,12,30
266,120,-12,-10,0,340,10,80,20,800,400,20,12,30
254,110,-12,-10,0,340,10,80,20,800,400,20,12,30
242,100,-12,-10,0,340,10,80,20,800,400,20,12,30
230,90,-12,-10,0,340,10,80,20,800,400,20,12,30
218,80,-12,-10,0,340,10,80,20,800,400,20,12,30
206,70,-12,-10,0,340,10,80,20,800,400,20,12,30
194,60,-12,-10,0,340,10,80,20,800,400,20,12,30
182,50,-12,-10,0,340,10,80,20,800,400,20,12,30
170,40,-12,-10,0,340,10,80,20,800,400,20,12,30
158,30,-12,-10,0,340,10,80,20,800,400,20,12,30
146,40,-12,10,0,340,10,80,20,800,400,20,12,30
134,50,-12,10,0,340,10,80,20,800,400,20,12,30
122,60,-12,10,0,340,10,80,20,800,400,20,12,30
110,70,-12,10,0,340,10,80,20,800,400,20,12,30
98,80,-12,10,0,340,10,80,20,800,400,20,12,30
86,90,-12,10,0,340,10,80,20,800,400,20,12,30
74,100,-12,10,0,340,10,80,20,800,400,20,12,30
62,110,-12,10,0,340,10,80,20,800,400,20,12,30
50,120,-12,10,0,340,10,80,20,800,400,20,12,30
38,130,-12,10,0,340,10,80,20,800,400,20,12,30
50,140,12,10,0,340,10,80,20,800,400,20,12,30
62,150,12,10,0,340,10,80,20,800,400,20,12,30
74,160,12,10,0,340,10,80,20,800,400,20,12,30
86,170,12,10,0,340,10,80,20,800,400,20,12,30
98,180,12,10,0,340,10,80,20,800,400,20,12,30
110,190,12,10,0,340,10,80,20,800,400,20,12,30
122,200,12,10,0,340,10,80,20,800,400,20,12,30
134,210,12,10,0,340,10,80,20,800,400,20,12,30
146,220,12,10,0,340,10,80,20,800,400,20,12,30
158,230,12,10,0,340,10,80,20,800,400,20,12,30
170,240,12,10,0,340,10,80,20,800,400,20,12,30
182,250,12,10,0,340,10,80,20,800,400,20,12,30
194,260,12,10,0,340,10,80,20,800,400,20,12,30
206,270,12,10,0,340,10,80,20,800,400,20,12,30
218,280,12,10,0,340,10,80,20,800,400,20,12,30
230,290,12,10,0,340,10,80,20,800,400,20,12,30
242,300,12,10,0,340,10,80,20,800,400,20,12,30
254,310,12,10,0,340,10,80,20,800,400,20,12,30
266,320,12,10,0,340,10,80,20,800,400,20,12,30
278,330,12,10,0,340,10,80,20,800,400,20,12,30
290,340,12,10,0,340,10,80,20,800,400,20,12,30
302,350,12,10,0,340,10,80,20,800,400,20,12,30
314,360,12,10,0,340,10,80,20,800,400,20,12,30
326,370,12,10,0,340,10,80,20,800,400,20,12,30
338,360,12,-10,0,340,10,80,20,800,400,20,12,30
350,350,12,-10,0,340,10,80,20,800,400,20,12,30
362,340,12,-10,0,340,10,80,20,800,400,20,12,30
374,330,12,-10,0,340,10,80,20,800,400,20,12,30
386,320,12,-10,0,340,10,80,20,800,400,20,12,30
398,310,12,-10,0,340,10,80,20,800,400,20,12,30
410,300,12,-10,0,340,10,80,20,800,400,20,12,30
422,290,12,-10,0,340,10,80,20,800,400,20,12,30
434,280,12,-10,0,340,10,80,20,800,400,20,12,30
446,270,12,-10,0,340,10,80,20,800,400,20,12,30
458,260,12,-10,0,340,10,80,20,800,400,20,12,30
470,250,12,-10,0,340,10,80,20,800,400,20,12,30
482,240,12,-10,0,340,10,80,20,800,400,20,12,30
494,230,12,-10,0,340,10,80,20,800,400,20,12,30
506,220,12,-10,0,340,10,80,20,800,400,20,12,30
518,210,12,-10,0,340,10,80,20,800,400,20,12,30
530,200,12,-10,0,340,10,80,20,800,400,20,12,30
542,190,12,-10,0,340,10,80,20,800,400,20,12,30
554,180,12,-10,0,340,10,80,20,800,400,20,12,30
566,170,12,-10,0,340,10,80,20,800,400,20,12,30
578,160,12,-10,0,340,10,80,20,800,400,20,12,30
590,150,12,-10,0,340,10,80,20,800,400,20,12,30
602,140,12,-10,0,340,10,80,20,800,400,20,12,30
614,130,12,-10,0,340,10,80,20,800,400,20,12,30
626,120,12,-10,0,340,10,80,20,800,400,20,12,30
638,110,12,-10,0,340,10,80,20,800,400,20,12,30
650,100,12,-10,0,340,10,80,20,800,400,20,12,30
662,90,12,-10,0,340,10,80,20,800,400,20,12,30
674,80,12,-10,0,340,10,80,20,800,400,20,12,30
686,70,12,-10,0,340,10,80,20,800,400,20,12,30
698,60,12,-10,0,340,10,80,20,800,400,20,12,30
710,50,12,-10,0,340,10,80,20,800,400,20,12,30
722,40,12,-10,0,340,10,80,20,800,400,20,12,30
734,30,12,-10,0,340,10,80,20,800,400,20,12,30
746,40,12,10,0,340,10,80,20,800,400,20,12,30
758,50,12,10,0,340,10,80,20,800,400,20,12,30
770,60,12,10,0,340,10,80,20,800,400,20,12,30
782,70,12,10,0,340,10,80,20,800,400,20,12,30
758,195,-12,-5,0,220,10,80,20,800,400,20,12,30
746,190,-12,-5,0,240,10,80,20,800,400,20,12,30
734,185,-12,-5,0,260,10,80,20,800,400,20,12,30
722,180,-12,-5,0,280,10,80,20,800,400,20,12,30
710,175,-12,-5,0,300,10,80,20,800,400,20,12,30
698,170,-12,-5,0,320,10,80,20,800,400,20,12,30
686,165,-12,-5,0,340,10,80,20,800,400,20,12,30
674,160,-12,-5,0,340,10,80,20,800,400,20,12,30
662,155,-12,-5,0,340,10,80,20,800,400,20,12,30
650,150,-12,-5,0,340,10,80,20,800,400,20,12,30
638,145,-12,-5,0,340,10,80,20,800,400,20,12,30
626,140,-12,-5,0,340,10,80,20,800,400,20,12,30
614,135,-12,-5,0,340,10,80,20,800,400,20,12,30
602,130,-12,-5,0,340,10,80,20,800,400,20,12,30
590,125,-12,-5,0,340,10,80,20,800,400,20,12,30
578,120,-12,-5,0,340,10,80,20,800,400,20,12,30
566,115,-12,-5,0,340,10,80,20,800,400,20,12,30
554,110,-12,-5,0,340,10,80,20,800,400,20,12,30
542,105,-12,-5,0,340,10,80,20,800,400,20,12,30
530,100,-12,-5,0,340,10,80,20,800,400,20,12,30
518,95,-12,-5,0,340,10,80,20,800,400,20,12,30
506,90,-12,-5,0,340,10,80,20,800,400,20,12,30
494,85,-12,-5,0,340,10,80,20,800,400,20,12,30
482,80,-12,-5,0,340,10,80,20,800,400,20,12,30
470,75,-12,-5,0,340,10,80,20,800,400,20,12,30
458,70,-12,-5,0,340,10,80,20,800,400,20,12,30
446,65,-12,-5,0,340,10,80,20,800,400,20,12,30
434,60,-12,-5,0,340,10,80,20,800,400,20,12,30
422,55,-12,-5,0,340,10,80,20,800,400,20,12,30
410,50,-12,-5,0,340,10,80,20,800,400,20,12,30
398,45,-12,-5,0,340,10,80,20,800,400,20,12,30
386,40,-12,-5,0,340,10,80,20,800,400,20,12,30
374,35,-12,-5,0,340,10,80,20,800,400,20,12,30
362,30,-12,-5,0,340,10,80,20,800,400,20,12,30
350,35,-12,5,0,340,10,80,20,800,400,20,12,30
338,40,-12,5,0,340,10,80,20,800,400,20,12,30
326,45,-12,5,0,340,10,80,20,800,400,20,12,30
314,50,-12,5,0,340,10,80,20,800,400,20,12,30
302,55,-12,5,0,340,10,80,20,800,400,20,12,30
290,60,-12,5,0,340,10,80,20,800,400,20,12,30
278,65,-12,5,0,340,10,80,20,800,400,20,12,30
266,70,-12,5,0,340,10,80,20,800,400,20,12,30
254,75,-12,5,0,340,10,80,20,800,400,20,12,30
242,80,-12,5,0,340,10,80,20,800,400,20,12,30
230,85,-12,5,0,340,10,80,20,800,400,20,12,30
218,90,-12,5,0,340,10,80,20,800,400,20,12,30
206,95,-12,5,0,340,10,80,20,800,400,20,12,30
194,100,-12,5,0,340,10,80,20,800,400,20,12,30
182,105,-12,5,0,340,10,80,20,800,400,20,12,30
170,110,-12,5,0,340,10,80,20,800,400,20,12,30
158,115,-12,5,0,340,10,80,20,800,400,20,12,30
146,120,-12,5,0,340,10,80,20,800,400,20,12,30
134,125,-12,5,0,340,10,80,20,800,400,20,12,30
122,130,-12,5,0,340,10,80,20,800,400,20,12,30
110,135,-12,5,0,340,10,80,20,800,400,20,12,30
98,140,-12,5,0,340,10,80,20,800,400,20,12,30
86,145,-12,5,0,340,10,80,20,800,400,20,12,30
74,150,-12,5,0,340,10,80,20,800,400,20,12,30
62,155,-12,5,0,340,10,80,20,800,400,20,12,30
50,160,-12,5,0,340,10,80,20,800,400,20,12,30
38,165,-12,5,0,340,10,80,20,800,400,20,12,30
